PREMONITIONS;2014;
PRESIDENT;2005;
PRESUME COUPABLE;1992;
PRIORITE ABSOLUE;2000;
PRIS AU PIEGE;1974;
PRISONERS;2013;
PROTECTION RAPPROCHEE;2001;
PSYCHO;1998;
PSYCHO KILLER;1989;
PSYCHOSE 3;1986;
PSYCHOSE MEURTRIERE;1991;
PUBLIC ENEMIES;2009;
QUALCOSA STRISCIA NEL BUIO;1971;
QUAND VIENT LA NUIT;2014;
QUATRE MOUCHES DE VELOURS GRIS;1971;
QUI A TUE VICKY LYNN ?;1941;
QUICK;1992;
QUICKSAND;2001;
RANDONNEE POUR UN TUEUR;1987;
REACTIONS EN CHAINE;1996;
REAL MOVIE;2003;
RED CORNER;1997;
REDHEADS FEMMES TRAQUEES;1992;
REPRESAILLES;1985;
RESURRECTION;1999;
REWIND;1997;
RIPPER : LETTER FROM HELL;2001;
ROADGAMES;1981;
ROMEO IS BLEEDING;1993;
ROSEBUD;1975;
RUN;2014;
RUN FOR YOUR LIFE;1997;
S.W.A.T. UNITE D'ELITE;2003;
SABOTAGE;2013;
SANG CHAUD POUR MEURTRE DE SANG-FROID;1991;
SANG POUR SANG;1984;
SANS AUCUNE DEFENSE;1991;
SANS ISSUE;2011;
CARNAGE;1972;
CARNIVAL OF CRIME;1961;
CAROLE;1971;
CASSANDRA;1986;
CAT CHASER;1988;
CATTIVE RAGAZZE;1992;
CAVALE SANS ISSUE;1992;
CELLOFAN - MED DODEN TIL FOLGE;1998;
CHAMBRE AVEC CRI;1991;
CHARLIE COUNTRYMAN;2013;
CHINATOWN;1974;
CHLOE;2009;
CHUTE MORTELLE;1996;
CIRCUITO CHIUSO;1978;
CITY OF GHOSTS;2002;
CLIFFHANGER;1993;
CLOSED CIRCUIT;2013;
CLOSET LAND;1991;
COEUR D'ACIER;1990;
COGAN;2012;
COHEN AND TATE;1988;
COLD COMFORT;1989;
COLD HEAVEN;1992;
COLERE NOIRE;1955;
COLT 45;2014;
COMPLIANCE;2011;
COMPLICATIONS DANS LA NUIT;1992;
COMPLICES;2009;
COMPLICITE FATALE;2002;
COMPTE A REBOURS;1995;
CONFESSION A UN CADAVRE;1965;
CONTAGION;2010;
CONTRAT SUR UN TERRORISTE;1997;
CONTREBANDE;2011;
COPYCAT;1995;
CORRESPONDANT 17;1940;
CORTEX;2006;
COSMOPOLIS;2011;
COVER STORY;1993;
CRAZY JOE;2013;
SPECIALE PREMIERE; The front page;1974;
AVANTI !; Avanti !;1972;
VOYAGES AVEC MA TANTE; Travels with my aunt;1972;
LA PARTY;The party;1968;
JERRY LA GRANDE GUEULE;The big mouth;1967;
EMBRASSE-MOI IDIOT;Kiss me stupid;1964;
LE SPORT FAVORI DE L'HOMME;Man's favorite sport ?;1964;
LE PIMENT DE LA VIE The thrill of it all;1963;
IRMA LA DOUCE Irma la douce;1963;
DOCTEUR JERRY ET MISTER LOVE The nutty professor;1963;
UN, DEUX, TROIS One, two, three;1961;
LA GARCONNIERE The apartment;1960;
OPERATION JUPONS Operation petticoat;1959;
CERTAINS L'AIMENT CHAUD Some like it hot;1959;
ARIANE Love in the afternoon;1957;
CHERIE, JE ME SENS RAJEUNIR Monkey business;1952;
ALLONS DONC PAPA Father's little dividend;1951;
LE PERE DE LA MARIEE Father of the bride;1950;
COMMENT L'ESPRIT VIENT AUX FEMMES Born yesterday;1950;
MADAME PORTE LA CULOTTE Adam's rib;1949;
INFIDELEMENT VOTRE Unfaithfully yours;1948;
LA FOLLE INGENUE Cluny Brown;1946;
LA VIE EST BELLE It's a wonderful life;1946;
ARSENIC ET VIEILLES DENTELLES Arsenic and old lace;1944;
LE CIEL PEUT ATTENDRE Heaven can wait;1943;
UNIFORMES ET JUPONS COURTS The major and the minor;1942;
JEUX DANGEREUX To be or not to be;1942;
UN COEUR PRIS AU PIEGE The lady Eve;1941;
HELLZAPOPPIN Hellzapoppin;1941;
LE DIABLE S'EN MELE The devil and miss Jones;1941;
BOULE DE FEU Ball of fire;1941;
RENDEZ;VOUS The shop around the corner;1940;
INDISCRETIONS The Philadelphia story;1940;
NINOTCHKA Ninotchka;1939;
LA BARONNE DE MINUIT Midnight;1939;
MADEMOISELLE ET SON BEBE Bachelor mother;1939;
MONSIEUR SMITH AU SENAT Mr Smith goes to Washington;1939;
VOUS NE L'EMPORTEREZ PAS AVEC VOUS You can't take it with you;1938;
L'IMPOSSIBLE MONSIEUR BEBE Bringing up baby;1938;
LA HUITIEME FEMME DE BARBE;BLEUE Bluebeard's eighth wife;1938;
TETES DE PIOCHE Blockheads;1938;
PLACE AUX JEUNES Make way for tomorrow;1937;
LES MONTAGNARDS SONT LA Swiss miss;1937;
CETTE SACREE VERITE The awful truth;1937;
L'EXTRAVAGANT MONSIEUR DEEDS Mr. Deeds goes to town;1936;
L'EXTRAVAGANT MONSIEUR RUGGLES Ruggles of Red Gap;1935;
NEW YORK ; MIAMI It happened one night;1934;
CEUX DE LA ZONE A man's castle;1933;
SERENADE A TROIS Design for living;1933;
LA SOUPE AU CANARD Duck soup;1933;
GRANDE DAME D'UN JOUR Lady for a day;1933;
HAUTE PEGRE Trouble in paradise;1932;
CHICKENS COME HOME Chickens come home;1931;
DROLES DE LOCATAIRES Another fine mess;1930;
QUELLE BRINGUE ! Blotto;1930;
LE FIGURANT Spite marriage;1929;
LA FLOTTE EST DANS LE LAC Men o'war;1929;
Y A ERREUR ! Wrong again;1929;
PASS THE GRAVY Pass the gravy;1928;
LES VACANCES DE MONSIEUR DAVIDSON Flaming fathers;1927;
LE PRINCE ETUDIANT The student prince in old Heidelberg;1927;
LES SURPRISES DE LA T.S.F. So this is Paris;1926;
A VISAGE DECOUVERT Mighty like a moose;1926;
WHAT PRICE GOOFY ? What price Goofy ?;1925;
CHARLEY RATE SON MARIAGE His wooden wedding;1925;
LA CROISIERE DU NAVIGATOR The Navigator;1924;
MONTE LA;DESSUS !; Safety last;1923;
JOUR DE PAYE;Pay day;1922;
MALEC CHEZ LES INDIENS; The paleface;1921;
SEPT ANS DE MALHEUR; Seven years bad luck;1921;
UNE JOURNEE DE PLAISIR; A day's pleasure;1919;
CAUCHEMARS ET SUPERSTITIONS; When the clouds roll by;1919;
UNE VIE DE CHIEN; A dog's life;1918;
L'EMIGRANT;The immigrant;1917;
